transaction_id,customer_id,transaction_timestamp,price,currency,flight_id,booking_reference
TRANS000401,CUST0001,2023-07-05 13:05:39,234.24,EUR,FLIGHT888,BAMKQW
TRANS000402,CUST0009,2023-07-05 05:06:50,172.8,AUD,FLIGHT793,CRM3OA
TRANS000403,CUST0010,2023-07-05 23:23:31,532.27,USD,FLIGHT496,MZOCTG
TRANS000404,CUST0018,2023-07-05 12:02:17,974.78,GBP,FLIGHT394,5EN9JN
TRANS000405,CUST0010,2023-07-05 16:24:33,325.92,GBP,FLIGHT216,73CVZE
TRANS000406,CUST0009,2023-07-05 02:48:04,895.0,EUR,FLIGHT928,V4DQC4
TRANS000407,CUST0018,2023-07-05 16:31:04,729.75,EUR,FLIGHT697,S6TT8M
TRANS000408,CUST0011,2023-07-05 14:31:00,170.46,USD,FLIGHT656,S977SK
TRANS000409,CUST0012,2023-07-05 23:07:16,268.5,GBP,FLIGHT344,TNIJO1
TRANS000410,CUST0008,2023-07-05 00:19:54,450.93,JPY,FLIGHT503,C8XM9P
TRANS000411,CUST0002,2023-07-05 00:50:47,262.53,JPY,FLIGHT683,3PMPVX
TRANS000412,CUST0010,2023-07-05 06:04:24,586.8,GBP,FLIGHT383,YHZ1NG
TRANS000413,CUST0020,2023-07-05 00:50:37,404.07,GBP,FLIGHT536,5V3BND
TRANS000414,CUST0011,2023-07-05 23:38:00,927.42,GBP,FLIGHT114,CPI9F8
TRANS000415,CUST0003,2023-07-05 05:51:39,476.61,USD,FLIGHT520,V2MMTA
TRANS000416,CUST0004,2023-07-05 07:48:50,209.93,USD,FLIGHT968,365NE2
TRANS000417,CUST0020,2023-07-05 06:05:38,678.59,GBP,FLIGHT142,N5V5HM
TRANS000418,CUST0017,2023-07-05 14:39:01,184.05,AUD,FLIGHT753,A6WHF0
TRANS000419,CUST0012,2023-07-05 06:12:56,615.04,EUR,FLIGHT705,9K4YD6
TRANS000420,CUST0012,2023-07-05 04:19:16,782.38,AUD,FLIGHT335,PHTXGR
TRANS000421,CUST0007,2023-07-05 19:47:42,552.95,AUD,FLIGHT593,ZIMHS5
TRANS000422,CUST0020,2023-07-05 22:47:12,523.81,EUR,FLIGHT177,AAUPBG
TRANS000423,CUST0007,2023-07-05 04:05:44,70.73,JPY,FLIGHT221,XMSR11
TRANS000424,CUST0004,2023-07-05 09:26:22,445.07,JPY,FLIGHT143,CH7NJA
TRANS000425,CUST0005,2023-07-05 20:30:11,593.33,JPY,FLIGHT434,F5M4L5
TRANS000426,CUST0003,2023-07-05 09:06:58,447.43,USD,FLIGHT761,SG60ES
TRANS000427,CUST0019,2023-07-05 01:04:39,834.24,AUD,FLIGHT958,NMLIJY
TRANS000428,CUST0008,2023-07-05 10:30:28,60.06,USD,FLIGHT597,IQOMKI
TRANS000429,CUST0019,2023-07-05 20:53:27,969.07,AUD,FLIGHT386,QFBGHQ
TRANS000430,CUST0005,2023-07-05 07:57:16,960.79,AUD,FLIGHT316,P1L6BV
TRANS000431,CUST0006,2023-07-05 21:49:36,195.38,JPY,FLIGHT228,LFU3V7
TRANS000432,CUST0007,2023-07-05 03:53:21,616.27,GBP,FLIGHT585,1ZHSCU
TRANS000433,CUST0014,2023-07-05 10:04:16,295.2,AUD,FLIGHT600,MKIE0O
TRANS000434,CUST0009,2023-07-05 23:08:22,91.9,EUR,FLIGHT785,VHBWSP
TRANS000435,CUST0019,2023-07-05 10:06:08,789.39,EUR,FLIGHT313,92S36O
TRANS000436,CUST0013,2023-07-05 06:56:07,527.67,GBP,FLIGHT355,6P14K3
TRANS000437,CUST0017,2023-07-05 13:42:10,227.06,JPY,FLIGHT510,YNOIED
TRANS000438,CUST0020,2023-07-05 06:59:34,353.7,JPY,FLIGHT464,CZHPCD
TRANS000439,CUST0005,2023-07-05 19:09:43,861.13,EUR,FLIGHT993,NXXUSM
TRANS000440,CUST0020,2023-07-05 14:18:30,506.37,GBP,FLIGHT483,133YOJ
TRANS000441,CUST0011,2023-07-05 20:46:12,905.16,JPY,FLIGHT690,EVO2KP
TRANS000442,CUST0020,2023-07-05 00:04:59,442.75,AUD,FLIGHT908,OX013Y
TRANS000443,CUST0010,2023-07-05 12:09:05,917.02,EUR,FLIGHT422,HVYSLJ
TRANS000444,CUST0006,2023-07-05 01:19:59,771.32,JPY,FLIGHT883,T5X2FY
TRANS000445,CUST0009,2023-07-05 06:34:18,461.12,AUD,FLIGHT813,O12RWS
TRANS000446,CUST0007,2023-07-05 00:42:40,600.83,JPY,FLIGHT177,K7CME5
TRANS000447,CUST0001,2023-07-05 18:58:22,636.75,GBP,FLIGHT637,MOSB4R
TRANS000448,CUST0005,2023-07-05 20:19:24,781.48,GBP,FLIGHT186,74GPVX
TRANS000449,CUST0012,2023-07-05 01:56:12,258.29,EUR,FLIGHT272,IVSIEP
TRANS000450,CUST0007,2023-07-05 01:05:35,483.35,USD,FLIGHT267,A0515I
TRANS000451,CUST0003,2023-07-05 07:46:15,573.36,GBP,FLIGHT781,7FAOB5
TRANS000452,CUST0014,2023-07-05 03:35:47,173.32,USD,FLIGHT654,TY3DTL
TRANS000453,CUST0002,2023-07-05 22:15:28,881.95,EUR,FLIGHT726,LMEAK2
TRANS000454,CUST0017,2023-07-05 12:40:56,693.88,EUR,FLIGHT551,XR4A90
TRANS000455,CUST0013,2023-07-05 14:42:27,375.62,JPY,FLIGHT113,OIRRG8
TRANS000456,CUST0015,2023-07-05 01:16:46,477.86,EUR,FLIGHT995,1RCMOB
TRANS000457,CUST0016,2023-07-05 01:28:56,960.42,JPY,FLIGHT522,MABM73
TRANS000458,CUST0010,2023-07-05 03:09:25,864.37,USD,FLIGHT792,20OFIW
TRANS000459,CUST0004,2023-07-05 23:58:01,629.23,AUD,FLIGHT878,WI4ROT
TRANS000460,CUST0005,2023-07-05 03:39:44,114.69,USD,FLIGHT375,TN9U69
TRANS000461,CUST0015,2023-07-05 04:36:37,750.76,AUD,FLIGHT414,MTY08H
TRANS000462,CUST0001,2023-07-05 08:50:27,786.6,JPY,FLIGHT928,HNJLN3
TRANS000463,CUST0008,2023-07-05 16:55:54,998.51,GBP,FLIGHT719,U1JQ72
TRANS000464,CUST0007,2023-07-05 00:24:17,826.64,USD,FLIGHT590,87WBHZ
TRANS000465,CUST0015,2023-07-05 11:42:13,988.87,JPY,FLIGHT887,UZKG6G
TRANS000466,CUST0015,2023-07-05 06:28:15,554.02,USD,FLIGHT687,AKCW05
TRANS000467,CUST0002,2023-07-05 15:54:16,264.89,JPY,FLIGHT829,B4BQYB
TRANS000468,CUST0001,2023-07-05 03:29:45,261.08,GBP,FLIGHT645,9Q50YQ
TRANS000469,CUST0003,2023-07-05 02:08:56,975.49,AUD,FLIGHT528,M2ZHBN
TRANS000470,CUST0012,2023-07-05 12:56:52,435.78,EUR,FLIGHT422,VANUWM
TRANS000471,CUST0002,2023-07-05 14:10:23,903.05,USD,FLIGHT214,C1PEXF
TRANS000472,CUST0007,2023-07-05 16:31:45,99.55,JPY,FLIGHT648,50BXH9
TRANS000473,CUST0001,2023-07-05 09:00:27,560.76,USD,FLIGHT980,70G609
TRANS000474,CUST0018,2023-07-05 21:45:47,774.05,AUD,FLIGHT809,D4QAUY
TRANS000475,CUST0013,2023-07-05 09:50:26,406.44,AUD,FLIGHT125,84NA8O
TRANS000476,CUST0020,2023-07-05 01:19:41,256.8,USD,FLIGHT368,5OIPAF
TRANS000477,CUST0012,2023-07-05 00:08:11,136.56,AUD,FLIGHT280,U1S2PM
TRANS000478,CUST0009,2023-07-05 18:48:16,633.49,EUR,FLIGHT760,JML591
TRANS000479,CUST0019,2023-07-05 13:02:10,297.91,USD,FLIGHT551,LUTE9C
TRANS000480,CUST0015,2023-07-05 22:40:54,181.98,EUR,FLIGHT891,060HWK
TRANS000481,CUST0008,2023-07-05 16:23:43,537.02,AUD,FLIGHT237,3TSAVY
TRANS000482,CUST0004,2023-07-05 04:04:16,817.26,AUD,FLIGHT304,L9EVIY
TRANS000483,CUST0009,2023-07-05 12:57:23,113.87,AUD,FLIGHT310,27NRA5
TRANS000484,CUST0013,2023-07-05 18:17:36,744.03,AUD,FLIGHT317,XECJGN
