transaction_id,customer_id,transaction_timestamp,price,currency,flight_id,booking_reference
TRANS000001,CUST0011,2023-07-01 06:24:38,94.42,JPY,FLIGHT244,YCQFNE
TRANS000002,CUST0008,2023-07-01 09:28:36,218.85,AUD,FLIGHT216,MHT3NF
TRANS000003,CUST0014,2023-07-01 11:03:03,386.81,JPY,FLIGHT283,O2XX7D
TRANS000004,CUST0017,2023-07-01 03:05:35,124.76,EUR,FLIGHT383,EERBGZ
TRANS000005,CUST0011,2023-07-01 20:54:31,716.0,USD,FLIGHT880,299JQ9
TRANS000006,CUST0010,2023-07-01 10:13:58,323.22,GBP,FLIGHT594,NN6EKT
TRANS000007,CUST0002,2023-07-01 17:02:26,663.38,JPY,FLIGHT786,GZMGEY
TRANS000008,CUST0001,2023-07-01 22:31:49,89.29,AUD,FLIGHT934,HHBZAP
TRANS000009,CUST0002,2023-07-01 06:22:59,896.51,GBP,FLIGHT725,JYUH3J
TRANS000010,CUST0006,2023-07-01 22:56:22,401.8,JPY,FLIGHT371,7VAEH2
TRANS000011,CUST0015,2023-07-01 05:37:55,73.12,AUD,FLIGHT805,DEULH5
TRANS000012,CUST0013,2023-07-01 17:03:14,189.62,EUR,FLIGHT793,9XAB4A
TRANS000013,CUST0019,2023-07-01 10:03:18,923.72,AUD,FLIGHT426,3QCJJF
TRANS000014,CUST0002,2023-07-01 12:10:07,954.73,USD,FLIGHT609,8AER1B
TRANS000015,CUST0008,2023-07-01 23:04:34,402.07,JPY,FLIGHT628,PI2XJS
TRANS000016,CUST0013,2023-07-01 09:02:50,60.69,JPY,FLIGHT801,CPEHII
TRANS000017,CUST0011,2023-07-01 14:10:01,104.97,JPY,FLIGHT948,MI3M25
TRANS000018,CUST0018,2023-07-01 17:20:30,379.2,GBP,FLIGHT159,IZV94U
TRANS000019,CUST0004,2023-07-01 22:24:29,395.28,EUR,FLIGHT939,RYBI4C
TRANS000020,CUST0007,2023-07-01 10:01:50,332.89,JPY,FLIGHT475,6LK1KI
TRANS000021,CUST0012,2023-07-01 16:14:57,460.83,GBP,FLIGHT462,S58MGH
TRANS000022,CUST0019,2023-07-01 07:07:34,861.18,EUR,FLIGHT887,106YD1
TRANS000023,CUST0019,2023-07-01 21:46:34,822.62,AUD,FLIGHT715,KWHBPT
TRANS000024,CUST0003,2023-07-01 01:51:41,612.63,EUR,FLIGHT314,W31E3S
TRANS000025,CUST0015,2023-07-01 12:51:36,290.5,USD,FLIGHT159,KVI811
TRANS000026,CUST0019,2023-07-01 11:48:22,843.55,AUD,FLIGHT128,SAKT3N
TRANS000027,CUST0018,2023-07-01 07:41:53,310.09,AUD,FLIGHT515,VZ09O9
TRANS000028,CUST0007,2023-07-01 20:59:36,730.53,USD,FLIGHT345,AG770Q
TRANS000029,CUST0004,2023-07-01 13:19:51,882.23,USD,FLIGHT687,96J7DG
TRANS000030,CUST0006,2023-07-01 23:14:53,115.04,USD,FLIGHT620,PEKKGQ
TRANS000031,CUST0004,2023-07-01 15:01:57,783.64,JPY,FLIGHT663,LSCREZ
TRANS000032,CUST0003,2023-07-01 03:46:58,765.81,EUR,FLIGHT318,J5INM6
